               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.028982,            0.026019,            0.075703,             0.26999,             0.33248,             0.20639,             0.14258,            0.013764,            0.018618,            0.037841,            0.070059,           0.0033268,           0.0033268
                   1,            0.022433,            0.021566,            0.044514,             0.60895,             0.39487,             0.43541,             0.33624,            0.012438,            0.014332,            0.027442,            0.039399,           0.0060008,           0.0060008
                   2,            0.022625,            0.021604,            0.034747,             0.66546,             0.46335,             0.55253,             0.42267,            0.011663,            0.014379,            0.023524,             0.00808,           0.0080148,           0.0080148
                   3,            0.020389,            0.020326,            0.028745,             0.72314,             0.50759,             0.58966,             0.48363,            0.008681,            0.013319,            0.021467,             0.00703,             0.00703,             0.00703
                   4,            0.019553,            0.019868,            0.026126,             0.71616,             0.55261,             0.62574,             0.49958,           0.0092532,            0.013642,            0.020745,             0.00703,             0.00703,             0.00703
                   5,            0.018258,             0.01903,             0.02336,             0.75303,             0.59041,             0.67473,             0.55241,            0.011153,            0.012313,            0.019061,             0.00604,             0.00604,             0.00604
                   6,            0.017122,            0.018096,            0.021814,             0.81528,             0.64276,             0.75128,             0.63776,            0.007841,            0.011879,            0.014701,             0.00505,             0.00505,             0.00505
                   7,            0.016215,            0.017467,             0.01981,             0.83855,             0.64678,             0.74476,             0.62822,           0.0078027,            0.012101,            0.016315,             0.00406,             0.00406,             0.00406
                   8,            0.014964,            0.016898,            0.017954,             0.83452,             0.69676,             0.80763,             0.69707,           0.0075852,            0.011027,            0.012985,             0.00307,             0.00307,             0.00307
                   9,            0.013752,            0.015909,            0.016521,             0.87878,             0.71732,             0.84069,             0.74757,           0.0059955,            0.010666,            0.010882,             0.00208,             0.00208,             0.00208
