x1,y1,x2,y2,ClassId,Path
5,135,25,155,30,output_folder5\merged_imageYFCV0L.png
48,116,109,174,8,output_folder5\merged_imageYFCV0L.png
132,132,156,156,10,output_folder5\merged_imageYFCV0L.png
179,130,206,158,10,output_folder5\merged_imageYFCV0L.png
230,131,258,159,10,output_folder5\merged_imageYFCV0L.png
281,134,300,153,2,output_folder5\merged_imageYFCV0L.png
6,85,41,120,23,output_folder5\merged_imageZO9PC4.png
61,59,141,146,38,output_folder5\merged_imageZO9PC4.png
160,91,182,113,4,output_folder5\merged_imageZO9PC4.png
199,69,261,135,2,output_folder5\merged_imageZO9PC4.png
6,82,52,130,4,output_folder5\merged_imageD38XA3.png
78,91,105,120,10,output_folder5\merged_imageD38XA3.png
131,80,181,131,28,output_folder5\merged_imageD38XA3.png
206,96,228,116,21,output_folder5\merged_imageD38XA3.png
254,95,277,118,33,output_folder5\merged_imageD38XA3.png
303,89,340,124,28,output_folder5\merged_imageD38XA3.png
6,79,64,139,36,output_folder5\merged_imageGY2G5A.png
94,95,116,124,17,output_folder5\merged_imageGY2G5A.png
144,88,187,131,10,output_folder5\merged_imageGY2G5A.png
216,86,264,132,33,output_folder5\merged_imageGY2G5A.png
293,95,323,122,13,output_folder5\merged_imageGY2G5A.png
354,75,428,143,13,output_folder5\merged_imageGY2G5A.png
6,97,31,122,1,output_folder5\merged_imageV85APG.png
55,100,75,120,10,output_folder5\merged_imageV85APG.png
100,101,117,118,39,output_folder5\merged_imageV85APG.png
141,94,174,124,24,output_folder5\merged_imageV85APG.png
199,99,220,121,4,output_folder5\merged_imageV85APG.png
5,92,22,111,17,output_folder5\merged_imageXCHE59.png
44,64,117,138,14,output_folder5\merged_imageXCHE59.png
140,74,199,129,18,output_folder5\merged_imageXCHE59.png
5,88,31,112,25,output_folder5\merged_image49T44U.png
50,78,98,121,19,output_folder5\merged_image49T44U.png
118,82,155,119,18,output_folder5\merged_image49T44U.png
174,84,209,116,12,output_folder5\merged_image49T44U.png
229,79,276,120,28,output_folder5\merged_image49T44U.png
5,93,50,140,1,output_folder5\merged_image0T935Q.png
80,97,112,137,25,output_folder5\merged_image0T935Q.png
142,99,176,134,9,output_folder5\merged_image0T935Q.png
207,101,240,132,31,output_folder5\merged_image0T935Q.png
271,89,334,143,13,output_folder5\merged_image0T935Q.png
366,96,408,137,12,output_folder5\merged_image0T935Q.png
6,82,50,127,14,output_folder5\merged_imageWV4A7X.png
72,90,100,119,11,output_folder5\merged_imageWV4A7X.png
122,94,145,117,4,output_folder5\merged_imageWV4A7X.png
165,92,191,118,9,output_folder5\merged_imageWV4A7X.png
5,85,59,138,2,output_folder5\merged_imageKK6BFN.png
90,83,149,140,12,output_folder5\merged_imageKK6BFN.png
182,86,239,137,25,output_folder5\merged_imageKK6BFN.png
5,78,33,106,4,output_folder5\merged_image8GTA3E.png
51,75,85,107,11,output_folder5\merged_image8GTA3E.png
105,67,143,115,15,output_folder5\merged_image8GTA3E.png
163,67,212,117,2,output_folder5\merged_image8GTA3E.png
5,148,30,171,11,output_folder5\merged_imagePY6NUA.png
59,150,77,169,8,output_folder5\merged_imagePY6NUA.png
107,130,164,189,14,output_folder5\merged_imagePY6NUA.png
195,125,263,193,40,output_folder5\merged_imagePY6NUA.png
296,127,366,193,13,output_folder5\merged_imagePY6NUA.png
396,140,434,179,6,output_folder5\merged_imagePY6NUA.png
6,102,29,124,10,output_folder5\merged_imageVBHMO1.png
55,89,106,138,25,output_folder5\merged_imageVBHMO1.png
133,82,193,143,12,output_folder5\merged_imageVBHMO1.png
220,90,267,137,12,output_folder5\merged_imageVBHMO1.png
293,101,317,124,9,output_folder5\merged_imageVBHMO1.png
344,98,375,127,33,output_folder5\merged_imageVBHMO1.png
5,118,44,157,38,output_folder5\merged_imageYOKIB0.png
64,121,98,154,12,output_folder5\merged_imageYOKIB0.png
117,121,153,155,18,output_folder5\merged_imageYOKIB0.png
173,124,202,152,2,output_folder5\merged_imageYOKIB0.png
222,121,254,154,31,output_folder5\merged_imageYOKIB0.png
5,96,29,121,8,output_folder5\merged_imageT87C6F.png
59,60,160,158,28,output_folder5\merged_imageT87C6F.png
191,99,213,121,32,output_folder5\merged_imageT87C6F.png
237,91,274,127,1,output_folder5\merged_imageT87C6F.png
5,96,25,117,9,output_folder5\merged_imageVUDVZ6.png
54,67,134,145,1,output_folder5\merged_imageVUDVZ6.png
167,67,252,143,18,output_folder5\merged_imageVUDVZ6.png
283,96,302,116,34,output_folder5\merged_imageVUDVZ6.png
328,96,350,116,2,output_folder5\merged_imageVUDVZ6.png
376,96,394,116,3,output_folder5\merged_imageVUDVZ6.png
5,89,25,109,8,output_folder5\merged_image39LRIW.png
43,86,70,113,4,output_folder5\merged_image39LRIW.png
90,72,137,127,1,output_folder5\merged_image39LRIW.png
6,88,38,123,38,output_folder5\merged_imageOLW2E2.png
64,79,119,132,35,output_folder5\merged_imageOLW2E2.png
145,94,170,119,2,output_folder5\merged_imageOLW2E2.png
5,97,26,118,12,output_folder5\merged_imageT9VRKZ.png
48,98,69,119,25,output_folder5\merged_imageT9VRKZ.png
90,98,110,118,12,output_folder5\merged_imageT9VRKZ.png
131,92,162,123,9,output_folder5\merged_imageT9VRKZ.png
10,67,96,147,11,output_folder5\merged_image9X459P.png
126,94,152,119,19,output_folder5\merged_image9X459P.png
178,92,205,119,7,output_folder5\merged_image9X459P.png
233,71,304,142,14,output_folder5\merged_image9X459P.png
333,77,394,136,7,output_folder5\merged_image9X459P.png
421,92,451,122,10,output_folder5\merged_image9X459P.png
5,130,39,164,1,output_folder5\merged_imageUBFTEO.png
56,126,107,169,13,output_folder5\merged_imageUBFTEO.png
123,135,145,159,3,output_folder5\merged_imageUBFTEO.png
9,71,88,133,19,output_folder5\merged_imageMZYREI.png
113,84,148,119,10,output_folder5\merged_imageMZYREI.png
170,91,196,114,13,output_folder5\merged_imageMZYREI.png
217,80,262,123,1,output_folder5\merged_imageMZYREI.png
6,78,54,130,35,output_folder5\merged_imageRXY484.png
77,87,117,123,31,output_folder5\merged_imageRXY484.png
140,86,176,122,38,output_folder5\merged_imageRXY484.png
199,87,235,122,25,output_folder5\merged_imageRXY484.png
259,79,312,129,19,output_folder5\merged_imageRXY484.png
336,82,376,126,37,output_folder5\merged_imageRXY484.png
13,55,129,154,11,output_folder5\merged_imageOQVDM6.png
159,89,189,119,8,output_folder5\merged_imageOQVDM6.png
212,92,242,118,13,output_folder5\merged_imageOQVDM6.png
265,94,285,114,1,output_folder5\merged_imageOQVDM6.png
310,89,342,121,12,output_folder5\merged_imageOQVDM6.png
7,67,63,136,38,output_folder5\merged_imageUPH7OW.png
95,86,124,115,8,output_folder5\merged_imageUPH7OW.png
155,87,185,115,11,output_folder5\merged_imageUPH7OW.png
216,91,237,111,2,output_folder5\merged_imageUPH7OW.png
11,48,109,137,30,output_folder5\merged_imageWKQXRL.png
